UID,Drug_Name,Condition,Rating
d0y1hs88,Ledipasvir / sofosbuvir,Hepatitis C,10
0abutzb3,Ledipasvir / sofosbuvir,Hepatitis C,9
jopeo9gs,Symbyax,Bipolar Disorde,8
4it5c9n2,Tamsulosin,Overactive Bladde,4
pt0kes0s,Doxycycline,Urinary Tract Infection,7
9e3z9xdd,Dulaglutide,"Diabetes, Type 2",10
9y8r277c,Intuniv,ADHD,1
7xmn8yvc,Buprenorphine,Pain,8
jhwjh12k,Qvar,"Asthma, Maintenance",1
h89scli5,Opdivo,Non-Small Cell Lung Cance,1
iisqysqm,Aripiprazole,Schizophrenia,10
j5gjipdn,Pyridium,Dysuria,1
jzzhpw7h,Latuda,Bipolar Disorde,8
yqa7ggqg,Bupropion,Smoking Cessation,10
8xcplab3,Implanon,Birth Control,2
v7asfaxc,Effexor XR,Anxiety,6
vqtx98xm,Drospirenone / ethinyl estradiol,Birth Control,3
pgfdy23h,Buprenorphine,Pain,10
p3b4yk5d,Implanon,Birth Control,1
g55d5ijx,NuvaRing,Birth Control,5
vok1dni9,Prepopik,Bowel Preparation,9
jwesa12u,Tretinoin,Acne,10
npd2qf7m,Effexor XR,Depression,10
6riyqn4k,Gildess Fe 1 / 20,Birth Control,2
uw76y16g,Ethinyl estradiol / norgestimate,Acne,9
ifla4aix,Elbasvir / grazoprevir,Hepatitis C,10
v4spn75m,Clomiphene,emale Infertility,10
43cxzudl,Docusate / senna,"Constipation, Acute",8
2fcl6f4i,Amitiza,"Constipation, Drug Induced",10
bqwmx5dy,Etonogestrel,Birth Control,10
eohjkqc4,Nexplanon,Birth Control,6
t2azgyp8,Sildenafil,Erectile Dysfunction,10
bi49e7ne,Lo Loestrin Fe,Birth Control,2
e5p4metz,Ledipasvir / sofosbuvir,Hepatitis C,10
qw2tsrxm,Sertraline,Panic Disorde,10
7a5nxxar,Oxcarbazepine,Trigeminal Neuralgia,7
8b2ookby,Wellbutrin,Depression,4
ahs2wdus,NuvaRing,Birth Control,7
ts91ivwf,Levonorgestrel,Birth Control,1
2vecg9op,Phillips' Milk of Magnesia,Constipation,9
2f9nc2to,Nature-Throid,Underactive Thyroid,1
8iet67u3,Lithium,Bipolar Disorde,10
wtarrhf0,Oxycodone,Chronic Pain,8
ahrrphm8,Cialis,Benign Prostatic Hyperplasia,10
8kced06y,Estradiol,Atrophic Vaginitis,9
sjicr24s,Sronyx,Birth Control,3
bf4qpsy7,Augmentin XR,Skin and Structure Infection,9
v4mbry22,Monistat 7-Day Combination Pack,Vaginal Yeast Infection,8
3qds5j1p,Plan B One-Step,Emergency Contraception,9
t9bt70f2,Alprazolam,Tinnitus,10
f1ixbzx8,Fluoxetine,Major Depressive Disorde,2
o47v5vgw,Aripiprazole,Depression,4
tyhwtt7j,NuvaRing,Birth Control,5
mt8h4rk5,Spironolactone,Acne,9
px70bft2,Fluvoxamine,Anxiety and Stress,9
59rcogfc,Macrobid,Urinary Tract Infection,1
jjkf5gg3,Lurasidone,Schizophrenia,8
j99qg2a0,Adapalene / benzoyl peroxide,Acne,8
u2w2bb2p,Brimonidine,Rosacea,1
qpaig5tm,Amlodipine / olmesartan,High Blood Pressure,10
5jai745w,Loestrin 24 Fe,2</span> users found this comment helpful.,3
hab8h5gz,Linaclotide,Irritable Bowel Syndrome,8
9d8k7b23,Mirtazapine,Anxiety,8
t1iagum7,Acetaminophen / hydrocodone,Pain,8
3e2soc6w,Isotretinoin,Acne,7
ykofrn9i,Ropinirole,Restless Legs Syndrome,10
n93cm6ws,Zoledronic acid,Osteolytic Bone Metastases of Solid Tumors,10
4pgish5x,Lamictal,Bipolar Disorde,9
k2qj6o7j,Levonorgestrel,Birth Control,10
u8goc7io,Buspirone,Anxiety,9
2ygtr69i,Propranolol,Anxiety,10
zgdbvfi4,Focalin,ADHD,9
ely200x3,Ethinyl estradiol / levonorgestrel,Birth Control,9
si486lqi,Jolivette,Birth Control,8
x22rc60j,Levofloxacin,Bronchitis,8
mbdj3r0m,Phentermine / topiramate,Obesity,9
635lbedk,Cephalexin,Skin or Soft Tissue Infection,1
iu2ziccm,Aviane,Birth Control,9
lzda8kyn,Etonogestrel,Birth Control,3
x443k65a,Saxenda,Obesity,1
rr5qhsam,Clomipramine,Obsessive Compulsive Disorde,1
yd7tu7u4,Medroxyprogesterone,Endometriosis,9
ac00tai9,Ethinyl estradiol / levonorgestrel,Birth Control,10
xxcx7hg5,Aczone,Acne,8
90tccg03,Nicoderm CQ,Smoking Cessation,8
81j4347d,Dextromethorphan,Cough,1
mm4ngrla,Naltrexone,Opiate Dependence,6
e85xdrcw,Restasis,Keratoconjunctivitis Sicca,9
p5aj5k2g,Depo-Provera,Birth Control,6
ua6aeg5a,Olanzapine,Bipolar Disorde,9
nfpw89fu,Oxytrol,Overactive Bladde,9
dpcpg5c1,Fentanyl,Breakthrough Pain,6
vpcx2t3w,Epiduo,Acne,3
1qniriu0,Etonogestrel,Birth Control,9
2wshgzjk,Levonorgestrel,Birth Control,2
gmi1ewc2,Epiduo,Acne,10
gxstlzuk,Accutane,Acne,9
rv26qfmf,Xanax,Panic Disorde,10
a1mcnta5,Desvenlafaxine,Depression,10
cszqykpu,Levonorgestrel,Birth Control,3
vbgf50os,Keppra,Seizures,9
aeuy92bx,Dulaglutide,"Diabetes, Type 2",9
eecyduzq,Morphine,Chronic Pain,5
uqls3p01,Urea,,10
rj9k9awy,Lyrica,Neuropathic Pain,1
vspnuxz9,Fluoxetine,Depression,1
mjhez5im,Phenergan,Sedation,8
f3h74j1n,Etonogestrel,Birth Control,5
b4mdiont,Bupropion,Depression,4
4sw1hrnf,Ethinyl estradiol / norgestimate,Birth Control,5
bnv38la3,Nexplanon,Birth Control,4
xo5u02d7,Loestrin 21 1 / 20,Menstrual Disorders,8
cetdqgff,Etonogestrel,Birth Control,9
7i52vltp,Tamsulosin,Benign Prostatic Hyperplasia,5
f5yjz0zp,Loratadine,Allergic Rhinitis,10
xv42jvd6,Cardura XL,Benign Prostatic Hyperplasia,10
kctgr529,Viibryd,Major Depressive Disorde,10
8kdtpwbv,Mirena,Birth Control,9
iat80b4l,Ethinyl estradiol / norelgestromin,Birth Control,10
9fd5a49o,Propofol,Anesthesia,10
ecu579el,Camphor / menthol,Pain,1
mtv80pjo,Hydroxychloroquine,Undifferentiated Connective Tissue Disease,1
6ojmmmuj,Lorcaserin,Obesity,10
uqkcbs2s,Insulin degludec,"Diabetes, Type 1",1
xtmozkf6,Trintellix,Depression,5
vpouyyev,Lupron Depot,Endometriosis,6
4i97fpzc,Levonorgestrel,Birth Control,10
jawwrsa5,Zanaflex,Muscle Spasm,10
7vrm081c,Miconazole,Vaginal Yeast Infection,1
py6qu4tl,Opana ER,Pain,2
g5wpa2ee,Aczone,Acne,10
ra3t6kmm,Provera,Abnormal Uterine Bleeding,10
tovfd9lw,Lurasidone,Bipolar Disorde,7
77nsidzc,Phentermine / topiramate,Weight Loss,8
q14x0i2c,Linaclotide,"Constipation, Chronic",6
kevrp8rg,Diflucan,Vaginal Yeast Infection,10
45g12waw,Ibrance,"Breast Cancer, Metastatic",9
7axgotby,Liraglutide,"Diabetes, Type 2",5
y4we4rrk,Reclipsen,Birth Control,6
ptbk69rk,Bupropion,Depression,10
kh06egig,Lisinopril,High Blood Pressure,10
dnxhtbxn,Ethinyl estradiol / norgestimate,Birth Control,3
25uy4lrw,Empagliflozin,"Diabetes, Type 2",10
a8ig607t,Naproxen,Period Pain,3
0qwwycnc,Amoxicillin / clarithromycin / lansoprazole,Helicobacter Pylori Infection,2
juiomzb3,Mirena,Birth Control,10
2g8rfzf4,Metoprolol,Atrial Fibrillation,10
pm8usc55,Naloxegol,"Constipation, Drug Induced",3
hwvr0v8c,Alprazolam,Anxiety,10
xetzg7gp,Skyla,Birth Control,6
emr0eh0i,Leuprolide,Uterine Fibroids,1
mm2sp48e,Provera,4</span> users found this comment helpful.,1
f87h5qh6,Ulipristal,Emergency Contraception,10
6u9q0ox9,Benzonatate,Cough,1
5dd89gnm,Nexplanon,Birth Control,4
uqgrjjwp,Sulfamethoxazole / trimethoprim,Kidney Infections,5
er3zmcz2,Eletriptan,Migraine,10
pd70i3d8,Brimonidine,Rosacea,1
172tl3fb,Escitalopram,Generalized Anxiety Disorde,7
zbqbogwu,Dulera,Asthma,5
5td4p2gd,Metoprolol,High Blood Pressure,2
o7pz0rst,Prempro,Postmenopausal Symptoms,8
qng05jry,Gemfibrozil,High Cholesterol,9
7n8p9okf,Depakote,Bipolar Disorde,1
z3x0c37y,Testosterone,"Hypogonadism, Male",10
xa6kwguo,Zomig,Migraine,7
bgdcm1i1,Vyvanse,ADHD,9
mpb4fy16,Medroxyprogesterone,Abnormal Uterine Bleeding,8
6r6zwfoy,Tioconazole,Vaginal Yeast Infection,10
5xki1ulf,Solodyn,Acne,8
w5t1ni4l,Efavirenz / emtricitabine / tenofovir,HIV Infection,10
w4zad1zt,Jolivette,Birth Control,8
1f5hn3ig,Methimazole,Hyperthyroidism,4
qbemfymp,Nexplanon,Birth Control,7
ssdx8xwi,Ortho Tri-Cyclen,Birth Control,1
dbwfn27p,Aleve,Back Pain,10
tzdgc3dw,Tylenol with Codeine #3,Cough,1
prqeufwg,Fluoxetine,Depression,8
cv36vc8i,Victoza,"Diabetes, Type 2",10
7t41wvw3,Lubiprostone,Irritable Bowel Syndrome,1
bhm2un6v,Ethinyl estradiol / norelgestromin,Birth Control,10
lvjveaob,Ethinyl estradiol / norethindrone,Birth Control,1
j60j7e9b,Sovaldi,Hepatitis C,1
78qyuk5x,Trazodone,Depression,7
vv1wjen0,Contrave,Obesity,8
s5w8rf6t,Pristiq,Depression,6
y7d3ux28,Temozolomide,Anaplastic Oligodendroglioma,10
kfsuiz5t,Nabumetone,Rheumatoid Arthritis,4
zvngy7zz,Levonorgestrel,Emergency Contraception,9
x4qdiln9,Implanon,Birth Control,1
anls8gri,Meloxicam,Osteoarthritis,10
8p1agcm2,Cevimeline,Sjogren's Syndrome,8
er6lz09f,Escitalopram,Generalized Anxiety Disorde,5
z8ix4kz7,ProAir RespiClick,"Asthma, acute",1
lmoekp1m,Ethinyl estradiol / norethindrone,Birth Control,9
nqxo3f45,Gabapentin,Hot Flashes,8
h0h0d93t,Relpax,Migraine,10
60qmiwjm,Levomilnacipran,Depression,1
3p2dl8yf,Yaz,3</span> users found this comment helpful.,3
ibx89gqw,Valtrex,"Herpes Simplex, Suppression",9
hlhfx3fm,Clindamycin,Bacterial Infection,10
5f42du0b,BuSpar,Anxiety,6
rdgyej4p,Plan B,Emergency Contraception,10
j1yqn9xg,Trolamine salicylate,Bursitis,7
6f6t558e,Tioconazole,Vaginal Yeast Infection,1
4ah705nc,Lisdexamfetamine,ADHD,10
u2uswgy3,Liraglutide,"Diabetes, Type 2",10
rgzmpoxv,Escitalopram,Anxiety,10
3nipr212,Gabapentin,Pain,6
rcbw54xc,Qsymia,Weight Loss,9
y9sel25v,Rizatriptan,Migraine,10
1rq612hm,Liraglutide,"Diabetes, Type 2",10
ehm4fgos,Ziana,Acne,10
3r0nqzgu,Desvenlafaxine,Depression,8
b4kzgubs,Boudreaux Butt Paste,Diaper Rash,10
9aegg5sd,Viibryd,Major Depressive Disorde,7
m87tapjp,Cymbalta,Depression,8
9j5yda3k,Zoloft,Panic Disorde,9
ndnkhj42,Tizanidine,Muscle Spasm,10
oknxic4q,Loestrin 24 Fe,4</span> users found this comment helpful.,2
c800ynvc,Gastrocrom,Systemic Mastocytosis,9
9xmeyrtu,Seasonique,Birth Control,5
fugb778l,Gildess Fe 1 / 20,Birth Control,1
asyrijyg,Amphetamine / dextroamphetamine,ADHD,10
32vs98ya,Liletta,Birth Control,9
jljjqs6m,Miconazole,Vaginal Yeast Infection,2
z5i8hyja,Exenatide,"Diabetes, Type 2",6
bsgqsdbx,Acetaminophen / hydrocodone,Pain,9
tjxtifao,Paroxetine,Trichotillomania,10
nhq0oq8y,Venlafaxine,Irritable Bowel Syndrome,10
rymj6lkj,Amitiza,Irritable Bowel Syndrome,1
x2bl5lcn,Bontril Slow Release,Obesity,10
7odpslba,Levothroid,Hashimoto's disease,10
q6pz6l2b,Carbamazepine,Epilepsy,8
nav88l73,Doxycycline,Acne,9
s12vwz8m,Adipex-P,Weight Loss,8
nnkholfe,Bydureon,"Diabetes, Type 2",10
2w3bx6p8,Bupropion / naltrexone,Obesity,8
mlkxcn5k,Fluconazole,Vaginal Yeast Infection,10
t2x4yfrv,Propofol,Anesthesia,10
t9f87kk0,Contrave,Obesity,8
mw0wb8a8,Accutane,Acne,8
sty7myg4,Voltaren-XR,Pain,10
os758lsd,Victoza,"Diabetes, Type 2",10
xhachzby,Pimecrolimus,Eczema,5
p4q64ksa,Acetaminophen / oxycodone,Chronic Pain,6
hicqy5sj,Levonorgestrel,Birth Control,4
ic2h01gm,Monistat 7,Vaginal Yeast Infection,8
ahxnhutv,Ethinyl estradiol / norgestimate,Birth Control,2
uo7fb10k,Pramipexole,Restless Legs Syndrome,9
nzynerfu,Ethinyl estradiol / norgestimate,Birth Control,1
yj25zkx6,AndroGel,"Hypogonadism, Male",5
j0nm444m,Ethinyl estradiol / norgestimate,Birth Control,7
28ddm9um,Victoza,"Diabetes, Type 2",1
od8s0zhm,Ethinyl estradiol / norgestimate,Acne,9
aoi4iqkf,Nitrofurantoin,Urinary Tract Infection,10
tc8eru1w,Metronidazole,Dental Abscess,5
toizrp89,Ziprasidone,Bipolar Disorde,1
2inlyd0t,Acetaminophen / butalbital / caffeine,Headache,9
ukh84gvu,Naproxen,Period Pain,7
deu7lrxq,Medroxyprogesterone,Birth Control,8
chhemr7s,Nuvigil,Hypersomnia,3
5ge7ozpd,Moxifloxacin,Bronchitis,6
fmymklz6,Methadone,Chronic Pain,9
dbzrd23n,Celecoxib,Pain,10
hpid3fzc,Aspirin / butalbital / caffeine,Migraine,10
6kpgt70s,Montelukast,Allergic Rhinitis,2
02qvv8le,Saliva substitutes,Xerostomia,1
qg2o0ug4,Atomoxetine,ADHD,9
goqgv2cc,Escitalopram,Depression,8
368pz09b,Doxycycline,Acne,9
j0ufth5d,Latuda,Bipolar Disorde,3
8o3l3rsf,Anastrozole,Breast Cance,6
h5pit94p,Linaclotide,Irritable Bowel Syndrome,10
st5vs6gq,Phenol,Sore Throat,6
ao7bkcv5,Nexplanon,Birth Control,2
j6y806qu,Duloxetine,Anxiety,1
dc8mbllr,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,9
yaow639d,Fentanyl,Pain,9
elo7kfun,Mirtazapine,Anxiety,10
99sbhbuo,Alprazolam,Anxiety,10
bojhhrvb,Venlafaxine,Depression,1
bxzprauu,Levonorgestrel,Emergency Contraception,10
eu3rry7p,Lansoprazole,Barrett's Esophagus,10
yqiggzk9,Liraglutide,Obesity,7
4pe9o59g,Nardil,Depression,10
rmia5w3x,Milnacipran,ibromyalgia,2
ofoqk100,Ledipasvir / sofosbuvir,Hepatitis C,9
kqanoog7,Oxymorphone,Pain,8
atnz63pk,Testosterone,"Hypogonadism, Male",1
s7uqawbd,Acetaminophen / aspirin / caffeine,Pain/Feve,10
86opxdjd,Zoloft,Depression,10
w9a0jopu,Azithromycin,Bronchitis,10
4gaa14ly,Lupron Depot,Uterine Fibroids,1
1s0exznp,Ethinyl estradiol / levonorgestrel,Birth Control,3
bnnt05fn,Levora,Birth Control,9
535lw99y,Etonogestrel,Birth Control,8
0vjs2w3l,ParaGard,Birth Control,9
u6b8iwr0,Levaquin,Urinary Tract Infection,9
1mxjklgx,Ethinyl estradiol / norethindrone,Birth Control,5
aoyyk5fl,Ciprofloxacin,Diverticulitis,8
t05ummop,Saxenda,Obesity,2
z4u017sa,Avelox,Sinusitis,3
2vvqczj7,Seasonique,Birth Control,4
ragcpbl6,Acidophilus,Vaginal Yeast Infection,10
vw3h1m5y,Contrave,Obesity,9
eedk54xf,Metformin,Polycystic Ovary Syndrome,10
jydxk6j1,Terconazole,Vaginal Yeast Infection,1
if9lar1c,Plan B,Emergency Contraception,10
v0yzur5h,Ethinyl estradiol / levonorgestrel,Birth Control,9
ppl3xnm9,Levonorgestrel,Birth Control,10
o3hytzwu,Saphris,Bipolar Disorde,7
y24qtqjj,Augmentin,Sinusitis,8
pi5uq90z,Depo-Provera,Birth Control,2
hth8f5sn,Lexapro,Anxiety,1
qc1mpzli,Tamiflu,Influenza,10
niw61l9r,Sertraline,Obsessive Compulsive Disorde,9
tb37l9yp,Trazodone,Depression,10
sjod3q3j,Prazosin,High Blood Pressure,6
dqxfcwyu,Tamiflu,Influenza,10
nbu6bsb3,Liothyronine,"Hypothyroidism, After Thyroid Removal",9
ne0qwv56,Seroquel,Generalized Anxiety Disorde,8
oly7a3c2,ParaGard,Birth Control,10
8l1vfsbc,Cialis,Erectile Dysfunction,2
jxtch47t,Nexplanon,Birth Control,1
oeqf7uk9,Terbinafine,"Onychomycosis, Toenail",10
mlyg4hj0,Ledipasvir / sofosbuvir,Hepatitis C,10
zqsy6r4i,Dulaglutide,"Diabetes, Type 2",8
jtsxpjhc,Valium,Muscle Spasm,9
25va2cvt,Etonogestrel,Birth Control,9
nqn1qzcu,Mirtazapine,Anxiety,10
f21dknmb,Amphetamine / dextroamphetamine,ADHD,10
r31pgnu0,Norco,Pain,10
g3asp1ps,Ethinyl estradiol / levonorgestrel,Birth Control,2
rr7r7ef0,Leuprolide,Endometriosis,8
tkvgzbuk,Qsymia,Weight Loss,10
b2znv6pa,Progesterone,Progesterone Insufficiency,4
9tgnx7du,Concerta,ADHD,10
ad3tct5b,Ocella,Birth Control,8
of9wlhga,Amphetamine / dextroamphetamine,ADHD,9
vkgnwxzc,Strattera,ADHD,3
mopydeq5,Levonorgestrel,Birth Control,7
eoxrh2sl,Bupropion / naltrexone,Obesity,9
0n5bxp93,Jolivette,Birth Control,9
epy7774j,Epiduo,Acne,10
z4q0eyjo,Sovaldi,Hepatitis C,10
acmfhbtm,Norco,11</span> users found this comment helpful.,9
dy28eo89,Sertraline,Anxiety and Stress,10
370fqkat,Mylanta,GERD,10
qtrquuvv,Depo-Provera,Birth Control,10
aoqyx8mk,Medroxyprogesterone,Abnormal Uterine Bleeding,7
7s9ot4vq,Tamsulosin,Benign Prostatic Hyperplasia,8
gvjiexfm,TriNessa,Acne,3
65plab8b,Goserelin,Endometriosis,2
cr0s5d1j,Nexplanon,Birth Control,10
a12708qd,Quetiapine,Bipolar Disorde,10
lad31adx,Testim,"Hypogonadism, Male",7
i55tm3hh,Emend,"Nausea/Vomiting, Postoperative",10
2hyiped2,Methylphenidate,Depression,10
e9vq3fe3,Topiramate,ibromyalgia,1
qefiw4ho,Escitalopram,Depression,10
v0ln3wfa,Acyclovir,Herpes Simplex,10
r7yyffgt,Linzess,"Constipation, Chronic",3
m0d72ntg,Qsymia,Weight Loss,1
pytu6sy0,Orthovisc,Osteoarthritis,8
hk491mr6,Silodosin,Benign Prostatic Hyperplasia,1
011k6mm0,Amitriptyline,Insomnia,1
96wkqutc,Metoclopramide,Gastroparesis,1
fcmzdcuh,Indomethacin,"Gout, Acute",7
87pamw52,Copper,Birth Control,9
dlivkn8l,Meclizine,Motion Sickness,10
yk9u4fvp,Naltrexone,Opiate Dependence,10
cv3qgno3,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,1
px0twvhs,Gilenya,Multiple Sclerosis,10
onkdv388,Amitriptyline,Migraine Prevention,9
k260c04b,Bupropion,Depression,8
zriuh5q5,Depo-Provera,Abnormal Uterine Bleeding,7
nsp2t0i6,Miconazole,Vaginal Yeast Infection,9
fvig79k3,Lamotrigine,Bipolar Disorde,8
wx7nheay,Microgestin Fe 1 / 20,Birth Control,4
egntml7e,Nitrofurantoin,Urinary Tract Infection,7
7tkvl894,Klonopin,Panic Disorde,10
jadzias9,Escitalopram,Anxiety,10
2zm4dq0u,Etonogestrel,Birth Control,4
owjgs6ja,Nitrofurantoin,Urinary Tract Infection,9
s9j21zsy,Codeine / guaifenesin,Cough,1
xiynfpuw,Mirtazapine,Insomnia,8
ry3m6x8c,Rizatriptan,Migraine,10
rbnfh89u,Ethinyl estradiol / norgestimate,Birth Control,1
z7a3g6e8,Exenatide,"Diabetes, Type 2",10
hgn6o5yf,Epiduo,Acne,10
9hh17k86,Citalopram,Anxiety and Stress,9
618glydc,Colazal,Crohn's Disease,10
eaglecq7,Linzess,"Constipation, Chronic",8
1f9kjtmm,Fiorinal with Codeine,Headache,10
9ruhvpbv,Effexor XR,Anxiety,4
mp3a9c9u,Drospirenone / ethinyl estradiol,Birth Control,9
3h1o0oz3,Etonogestrel,Birth Control,8
2vdvswda,Bupropion / naltrexone,Obesity,10
73gxq2w6,Klonopin,Panic Disorde,10
3wvcuboc,Zolpidem,Insomnia,8
py38bel4,Wellbutrin XL,Depression,6
p5ecpcll,Metoprolol,High Blood Pressure,10
6uaj8fb7,Clonazepam,Anxiety,10
zr34wsae,Climara Pro,Postmenopausal Symptoms,3
p3dex2to,Lexapro,Depression,9
5hkd80eh,Quetiapine,Insomnia,9
48mtdwuv,Ethinyl estradiol / norethindrone,Birth Control,10
2uvibr2j,Aripiprazole,Autism,10
0ga5rel6,Dulcolax,Constipation,10
s43mous6,Implanon,Birth Control,3
9lissxsy,Clarithromycin,Otitis Media,10
qs7dsxn5,Duloxetine,Chronic Pain,7
m9icky9z,Bactrim DS,Upper Respiratory Tract Infection,10
b8eezxv3,Varenicline,Smoking Cessation,10
ndn6iwre,NuvaRing,Birth Control,10
g41pd9uz,Ethinyl estradiol / levonorgestrel,Birth Control,7
3kp3ptbn,Bactrim DS,Urinary Tract Infection,3
2s4ifz7i,Amoxicillin / clavulanate,Upper Respiratory Tract Infection,3
1yka7ej9,Liletta,Birth Control,6
0d77ojnb,Levonorgestrel,Emergency Contraception,9
jmrg4oeb,Tolterodine,Overactive Bladde,1
gzubfnqg,Fluoxetine,ibromyalgia,7
tne83uu0,Nexplanon,Birth Control,5
hhsfq8bz,Keppra,Seizures,10
nsrm0axa,Hydroxyzine,Anxiety,7
iwsa760n,Blisovi Fe 1 / 20,Birth Control,6
3e1ji2mw,Ramelteon,Insomnia,1
4k1i6y98,Clindamycin,Surgical Prophylaxis,1
kbd2h4l0,Methadone,Chronic Pain,7
a5x5ga60,Infliximab,Psoriatic Arthritis,10
38f8ftmh,Rabeprazole,Erosive Esophagitis,10
7reqkx3h,Dexilant,GERD,4
j58f1lwa,Pristiq,Depression,1
6om1y33o,Seroquel,Bipolar Disorde,9
yu89n6rq,Immune globulin oral,Irritable Bowel Syndrome,10
ngbfiws5,Nucynta,Pain,9
rlsdznmv,Hysingla ER,Pain,1
qlkt5fzp,Metoprolol,Premature Ventricular Depolarizations,9
4nmc356g,Pantoprazole,Stomach Ulce,1
b10yokyu,Sprycel,Chronic Myelogenous Leukemia,10
c3dxfet9,Levonorgestrel,Emergency Contraception,10
zav5gksq,Tri-Sprintec,Acne,3
wtdzad90,Doxepin,,10
xfxf1vse,Zofran,Nausea/Vomiting,10
4f84pc83,Versed,Light Anesthesia,1
va4t15mb,Plan B,Emergency Contraception,9
i7tjno0w,Cipro,Urinary Tract Infection,10
llqpfhwg,Levonorgestrel,Emergency Contraception,10
dvrstz6f,Zoloft,Depression,10
etl9uwt7,MS Contin,Chronic Pain,8
zclymg50,Doxycycline,Rosacea,10
jir7n19b,Avonex,Multiple Sclerosis,8
xq1cxrvf,Skyla,Birth Control,4
fu3cl7lq,Oxycodone,Pain,9
cr22vp8b,Plan B,Emergency Contraception,3
xdsi7oye,Focalin XR,ADHD,8
vorczspu,Ethinyl estradiol / levonorgestrel,Birth Control,8
fhqbw32a,Loestrin 24 Fe,Birth Control,9
dbowa5bt,Sertraline,Depression,6
jjraqr85,Ethinyl estradiol / norethindrone,Birth Control,10
hnx213kp,Concerta,ADHD,7
jtwb17u8,Junel Fe 1 / 20,Birth Control,10
66ulqu11,Levonorgestrel,Abnormal Uterine Bleeding,9
5ciaonf0,Alprazolam,Anxiety,10
cv32u0ox,Imdur,Angina Pectoris Prophylaxis,10
y8hzi1gl,Xanax,Panic Disorde,9
944pn0k9,Diazepam,Anxiety,9
d4dnz2lk,Bisacodyl,Constipation,6
5imbomop,Miconazole,Vaginal Yeast Infection,1
9ecuca17,Escitalopram,Generalized Anxiety Disorde,3
6t9kl3hq,Nortrel 1 / 35,0</span> users found this comment helpful.,2
zhdjtv4j,Morphine,Chronic Pain,10
1mu1z4xd,Loestrin 24 Fe,Birth Control,5
itp1hnql,Suvorexant,Insomnia,1
qeo5dfxg,Methylphenidate,ADHD,9
qmg58cgr,Exenatide,"Diabetes, Type 2",1
3ybko13r,Risperidone,Paranoid Disorde,4
ti9b1etu,Clonazepam,Panic Disorde,7
s4d442kx,Nexplanon,Birth Control,9
dmud2zf7,Sprintec,Birth Control,9
na8odvj7,Viberzi,Irritable Bowel Syndrome,5
rscduazd,Sprintec,Birth Control,10
sozs02x0,Risperdal,Paranoid Disorde,1
dop8knqn,Ocella,Birth Control,9
vg1vvm6f,Amoxicillin / clavulanate,Bacterial Infection,2
4ep7nf3q,Ethinyl estradiol / levonorgestrel,Birth Control,6
mrsya6wz,Liraglutide,Obesity,10
f4hj35dr,Ethinyl estradiol / norelgestromin,Birth Control,1
bpnqz1cn,Plan B,Emergency Contraception,5
utlponna,Simponi,Rheumatoid Arthritis,8
rbsv58fo,Avelox,Prostatitis,10
myh73pe6,Euflexxa,Osteoarthritis,2
ufcvecwo,Diclofenac,Pain,9
4ihv80au,Gabapentin,Anxiety,10
