UID,Drug_Name,Condition,Rating,Results
1f5hn3ig,Methimazole,Hyperthyroidism,4,0
qbemfymp,Nexplanon,Birth Control,7,0
ssdx8xwi,Ortho Tri-Cyclen,Birth Control,1,0
dbwfn27p,Aleve,Back Pain,10,1
tzdgc3dw,Tylenol with Codeine #3,Cough,1,0
prqeufwg,Fluoxetine,Depression,8,1
cv36vc8i,Victoza,"Diabetes, Type 2",10,1
7t41wvw3,Lubiprostone,Irritable Bowel Syndrome,1,0
bhm2un6v,Ethinyl estradiol / norelgestromin,Birth Control,10,1
lvjveaob,Ethinyl estradiol / norethindrone,Birth Control,1,0
j60j7e9b,Sovaldi,Hepatitis C,1,0
78qyuk5x,Trazodone,Depression,7,0
vv1wjen0,Contrave,Obesity,8,1
s5w8rf6t,Pristiq,Depression,6,0
y7d3ux28,Temozolomide,Anaplastic Oligodendroglioma,10,1
kfsuiz5t,Nabumetone,Rheumatoid Arthritis,4,0
zvngy7zz,Levonorgestrel,Emergency Contraception,9,1
x4qdiln9,Implanon,Birth Control,1,0
anls8gri,Meloxicam,Osteoarthritis,10,1
8p1agcm2,Cevimeline,Sjogren's Syndrome,8,1
er6lz09f,Escitalopram,Generalized Anxiety Disorde,5,0
z8ix4kz7,ProAir RespiClick,"Asthma, acute",1,0
lmoekp1m,Ethinyl estradiol / norethindrone,Birth Control,9,1
nqxo3f45,Gabapentin,Hot Flashes,8,1
h0h0d93t,Relpax,Migraine,10,1
60qmiwjm,Levomilnacipran,Depression,1,0
3p2dl8yf,Yaz,3</span> users found this comment helpful.,3,0
ibx89gqw,Valtrex,"Herpes Simplex, Suppression",9,1
hlhfx3fm,Clindamycin,Bacterial Infection,10,1
5f42du0b,BuSpar,Anxiety,6,0
rdgyej4p,Plan B,Emergency Contraception,10,1
j1yqn9xg,Trolamine salicylate,Bursitis,7,0
6f6t558e,Tioconazole,Vaginal Yeast Infection,1,0
4ah705nc,Lisdexamfetamine,ADHD,10,1
u2uswgy3,Liraglutide,"Diabetes, Type 2",10,1
rgzmpoxv,Escitalopram,Anxiety,10,1
3nipr212,Gabapentin,Pain,6,0
rcbw54xc,Qsymia,Weight Loss,9,1
y9sel25v,Rizatriptan,Migraine,10,1
1rq612hm,Liraglutide,"Diabetes, Type 2",10,1
ehm4fgos,Ziana,Acne,10,1
3r0nqzgu,Desvenlafaxine,Depression,8,1
b4kzgubs,Boudreaux Butt Paste,Diaper Rash,10,1
9aegg5sd,Viibryd,Major Depressive Disorde,7,0
m87tapjp,Cymbalta,Depression,8,1
9j5yda3k,Zoloft,Panic Disorde,9,1
ndnkhj42,Tizanidine,Muscle Spasm,10,1
oknxic4q,Loestrin 24 Fe,4</span> users found this comment helpful.,2,0
c800ynvc,Gastrocrom,Systemic Mastocytosis,9,1
9xmeyrtu,Seasonique,Birth Control,5,0
fugb778l,Gildess Fe 1 / 20,Birth Control,1,0
asyrijyg,Amphetamine / dextroamphetamine,ADHD,10,1
32vs98ya,Liletta,Birth Control,9,1
jljjqs6m,Miconazole,Vaginal Yeast Infection,2,0
z5i8hyja,Exenatide,"Diabetes, Type 2",6,0
bsgqsdbx,Acetaminophen / hydrocodone,Pain,9,1
tjxtifao,Paroxetine,Trichotillomania,10,1
nhq0oq8y,Venlafaxine,Irritable Bowel Syndrome,10,1
rymj6lkj,Amitiza,Irritable Bowel Syndrome,1,0
x2bl5lcn,Bontril Slow Release,Obesity,10,1
7odpslba,Levothroid,Hashimoto's disease,10,1
q6pz6l2b,Carbamazepine,Epilepsy,8,1
nav88l73,Doxycycline,Acne,9,1
s12vwz8m,Adipex-P,Weight Loss,8,1
nnkholfe,Bydureon,"Diabetes, Type 2",10,1
2w3bx6p8,Bupropion / naltrexone,Obesity,8,1
mlkxcn5k,Fluconazole,Vaginal Yeast Infection,10,1
t2x4yfrv,Propofol,Anesthesia,10,1
t9f87kk0,Contrave,Obesity,8,1
mw0wb8a8,Accutane,Acne,8,1
sty7myg4,Voltaren-XR,Pain,10,1
os758lsd,Victoza,"Diabetes, Type 2",10,1
xhachzby,Pimecrolimus,Eczema,5,0
p4q64ksa,Acetaminophen / oxycodone,Chronic Pain,6,0
hicqy5sj,Levonorgestrel,Birth Control,4,0
ic2h01gm,Monistat 7,Vaginal Yeast Infection,8,1
ahxnhutv,Ethinyl estradiol / norgestimate,Birth Control,2,0
uo7fb10k,Pramipexole,Restless Legs Syndrome,9,1
nzynerfu,Ethinyl estradiol / norgestimate,Birth Control,1,0
yj25zkx6,AndroGel,"Hypogonadism, Male",5,0
j0nm444m,Ethinyl estradiol / norgestimate,Birth Control,7,0
28ddm9um,Victoza,"Diabetes, Type 2",1,0
od8s0zhm,Ethinyl estradiol / norgestimate,Acne,9,1
aoi4iqkf,Nitrofurantoin,Urinary Tract Infection,10,1
tc8eru1w,Metronidazole,Dental Abscess,5,0
toizrp89,Ziprasidone,Bipolar Disorde,1,0
2inlyd0t,Acetaminophen / butalbital / caffeine,Headache,9,1
ukh84gvu,Naproxen,Period Pain,7,0
deu7lrxq,Medroxyprogesterone,Birth Control,8,1
chhemr7s,Nuvigil,Hypersomnia,3,0
5ge7ozpd,Moxifloxacin,Bronchitis,6,0
fmymklz6,Methadone,Chronic Pain,9,1
dbzrd23n,Celecoxib,Pain,10,1
hpid3fzc,Aspirin / butalbital / caffeine,Migraine,10,1
6kpgt70s,Montelukast,Allergic Rhinitis,2,0
02qvv8le,Saliva substitutes,Xerostomia,1,0
qg2o0ug4,Atomoxetine,ADHD,9,1
goqgv2cc,Escitalopram,Depression,8,1
368pz09b,Doxycycline,Acne,9,1
j0ufth5d,Latuda,Bipolar Disorde,3,0
8o3l3rsf,Anastrozole,Breast Cance,6,0
h5pit94p,Linaclotide,Irritable Bowel Syndrome,10,1
st5vs6gq,Phenol,Sore Throat,6,0
ao7bkcv5,Nexplanon,Birth Control,2,0
j6y806qu,Duloxetine,Anxiety,1,0
dc8mbllr,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,9,1
yaow639d,Fentanyl,Pain,9,1
elo7kfun,Mirtazapine,Anxiety,10,1
99sbhbuo,Alprazolam,Anxiety,10,1
bojhhrvb,Venlafaxine,Depression,1,0
bxzprauu,Levonorgestrel,Emergency Contraception,10,1
eu3rry7p,Lansoprazole,Barrett's Esophagus,10,1
yqiggzk9,Liraglutide,Obesity,7,0
4pe9o59g,Nardil,Depression,10,1
rmia5w3x,Milnacipran,ibromyalgia,2,0
ofoqk100,Ledipasvir / sofosbuvir,Hepatitis C,9,1
kqanoog7,Oxymorphone,Pain,8,1
atnz63pk,Testosterone,"Hypogonadism, Male",1,0
s7uqawbd,Acetaminophen / aspirin / caffeine,Pain/Feve,10,1
86opxdjd,Zoloft,Depression,10,1
w9a0jopu,Azithromycin,Bronchitis,10,1
4gaa14ly,Lupron Depot,Uterine Fibroids,1,0
1s0exznp,Ethinyl estradiol / levonorgestrel,Birth Control,3,0
bnnt05fn,Levora,Birth Control,9,1
535lw99y,Etonogestrel,Birth Control,8,1
0vjs2w3l,ParaGard,Birth Control,9,1
u6b8iwr0,Levaquin,Urinary Tract Infection,9,1
1mxjklgx,Ethinyl estradiol / norethindrone,Birth Control,5,0
aoyyk5fl,Ciprofloxacin,Diverticulitis,8,1
t05ummop,Saxenda,Obesity,2,0
z4u017sa,Avelox,Sinusitis,3,0
2vvqczj7,Seasonique,Birth Control,4,0
ragcpbl6,Acidophilus,Vaginal Yeast Infection,10,1
vw3h1m5y,Contrave,Obesity,9,1
eedk54xf,Metformin,Polycystic Ovary Syndrome,10,1
jydxk6j1,Terconazole,Vaginal Yeast Infection,1,0
if9lar1c,Plan B,Emergency Contraception,10,1
v0yzur5h,Ethinyl estradiol / levonorgestrel,Birth Control,9,1
ppl3xnm9,Levonorgestrel,Birth Control,10,1
o3hytzwu,Saphris,Bipolar Disorde,7,0
y24qtqjj,Augmentin,Sinusitis,8,1
pi5uq90z,Depo-Provera,Birth Control,2,0
hth8f5sn,Lexapro,Anxiety,1,0
qc1mpzli,Tamiflu,Influenza,10,1
niw61l9r,Sertraline,Obsessive Compulsive Disorde,9,1
tb37l9yp,Trazodone,Depression,10,1
sjod3q3j,Prazosin,High Blood Pressure,6,0
dqxfcwyu,Tamiflu,Influenza,10,1
nbu6bsb3,Liothyronine,"Hypothyroidism, After Thyroid Removal",9,1
ne0qwv56,Seroquel,Generalized Anxiety Disorde,8,1
oly7a3c2,ParaGard,Birth Control,10,1
8l1vfsbc,Cialis,Erectile Dysfunction,2,0
jxtch47t,Nexplanon,Birth Control,1,0
oeqf7uk9,Terbinafine,"Onychomycosis, Toenail",10,1
mlyg4hj0,Ledipasvir / sofosbuvir,Hepatitis C,10,1
zqsy6r4i,Dulaglutide,"Diabetes, Type 2",8,1
jtsxpjhc,Valium,Muscle Spasm,9,1
25va2cvt,Etonogestrel,Birth Control,9,1
nqn1qzcu,Mirtazapine,Anxiety,10,1
f21dknmb,Amphetamine / dextroamphetamine,ADHD,10,1
r31pgnu0,Norco,Pain,10,1
g3asp1ps,Ethinyl estradiol / levonorgestrel,Birth Control,2,0
rr7r7ef0,Leuprolide,Endometriosis,8,1
tkvgzbuk,Qsymia,Weight Loss,10,1
b2znv6pa,Progesterone,Progesterone Insufficiency,4,0
9tgnx7du,Concerta,ADHD,10,1
ad3tct5b,Ocella,Birth Control,8,1
of9wlhga,Amphetamine / dextroamphetamine,ADHD,9,1
vkgnwxzc,Strattera,ADHD,3,0
mopydeq5,Levonorgestrel,Birth Control,7,0
eoxrh2sl,Bupropion / naltrexone,Obesity,9,1
0n5bxp93,Jolivette,Birth Control,9,1
epy7774j,Epiduo,Acne,10,1
z4q0eyjo,Sovaldi,Hepatitis C,10,1
acmfhbtm,Norco,11</span> users found this comment helpful.,9,1
dy28eo89,Sertraline,Anxiety and Stress,10,1
370fqkat,Mylanta,GERD,10,1
qtrquuvv,Depo-Provera,Birth Control,10,1
aoqyx8mk,Medroxyprogesterone,Abnormal Uterine Bleeding,7,0
7s9ot4vq,Tamsulosin,Benign Prostatic Hyperplasia,8,1
gvjiexfm,TriNessa,Acne,3,0
65plab8b,Goserelin,Endometriosis,2,0
cr0s5d1j,Nexplanon,Birth Control,10,1
a12708qd,Quetiapine,Bipolar Disorde,10,1
lad31adx,Testim,"Hypogonadism, Male",7,0
i55tm3hh,Emend,"Nausea/Vomiting, Postoperative",10,1
2hyiped2,Methylphenidate,Depression,10,1
e9vq3fe3,Topiramate,ibromyalgia,1,0
qefiw4ho,Escitalopram,Depression,10,1
v0ln3wfa,Acyclovir,Herpes Simplex,10,1
r7yyffgt,Linzess,"Constipation, Chronic",3,0
m0d72ntg,Qsymia,Weight Loss,1,0
pytu6sy0,Orthovisc,Osteoarthritis,8,1
hk491mr6,Silodosin,Benign Prostatic Hyperplasia,1,0
011k6mm0,Amitriptyline,Insomnia,1,0
96wkqutc,Metoclopramide,Gastroparesis,1,0
fcmzdcuh,Indomethacin,"Gout, Acute",7,0
87pamw52,Copper,Birth Control,9,1
dlivkn8l,Meclizine,Motion Sickness,10,1
yk9u4fvp,Naltrexone,Opiate Dependence,10,1
cv3qgno3,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,1,0
px0twvhs,Gilenya,Multiple Sclerosis,10,1
onkdv388,Amitriptyline,Migraine Prevention,9,1
k260c04b,Bupropion,Depression,8,1
zriuh5q5,Depo-Provera,Abnormal Uterine Bleeding,7,0
nsp2t0i6,Miconazole,Vaginal Yeast Infection,9,1
fvig79k3,Lamotrigine,Bipolar Disorde,8,1
wx7nheay,Microgestin Fe 1 / 20,Birth Control,4,0
egntml7e,Nitrofurantoin,Urinary Tract Infection,7,0
7tkvl894,Klonopin,Panic Disorde,10,1
jadzias9,Escitalopram,Anxiety,10,1
2zm4dq0u,Etonogestrel,Birth Control,4,0
owjgs6ja,Nitrofurantoin,Urinary Tract Infection,9,1
s9j21zsy,Codeine / guaifenesin,Cough,1,0
xiynfpuw,Mirtazapine,Insomnia,8,1
ry3m6x8c,Rizatriptan,Migraine,10,1
rbnfh89u,Ethinyl estradiol / norgestimate,Birth Control,1,0
z7a3g6e8,Exenatide,"Diabetes, Type 2",10,1
hgn6o5yf,Epiduo,Acne,10,1
9hh17k86,Citalopram,Anxiety and Stress,9,1
618glydc,Colazal,Crohn's Disease,10,1
eaglecq7,Linzess,"Constipation, Chronic",8,1
1f9kjtmm,Fiorinal with Codeine,Headache,10,1
9ruhvpbv,Effexor XR,Anxiety,4,0
mp3a9c9u,Drospirenone / ethinyl estradiol,Birth Control,9,1
3h1o0oz3,Etonogestrel,Birth Control,8,1
2vdvswda,Bupropion / naltrexone,Obesity,10,1
73gxq2w6,Klonopin,Panic Disorde,10,1
3wvcuboc,Zolpidem,Insomnia,8,1
py38bel4,Wellbutrin XL,Depression,6,0
p5ecpcll,Metoprolol,High Blood Pressure,10,1
6uaj8fb7,Clonazepam,Anxiety,10,1
zr34wsae,Climara Pro,Postmenopausal Symptoms,3,0
p3dex2to,Lexapro,Depression,9,1
5hkd80eh,Quetiapine,Insomnia,9,1
48mtdwuv,Ethinyl estradiol / norethindrone,Birth Control,10,1
2uvibr2j,Aripiprazole,Autism,10,1
0ga5rel6,Dulcolax,Constipation,10,1
s43mous6,Implanon,Birth Control,3,0
9lissxsy,Clarithromycin,Otitis Media,10,1
qs7dsxn5,Duloxetine,Chronic Pain,7,0
m9icky9z,Bactrim DS,Upper Respiratory Tract Infection,10,1
b8eezxv3,Varenicline,Smoking Cessation,10,1
ndn6iwre,NuvaRing,Birth Control,10,1
g41pd9uz,Ethinyl estradiol / levonorgestrel,Birth Control,7,0
3kp3ptbn,Bactrim DS,Urinary Tract Infection,3,0
2s4ifz7i,Amoxicillin / clavulanate,Upper Respiratory Tract Infection,3,0
1yka7ej9,Liletta,Birth Control,6,0
0d77ojnb,Levonorgestrel,Emergency Contraception,9,1
jmrg4oeb,Tolterodine,Overactive Bladde,1,0
gzubfnqg,Fluoxetine,ibromyalgia,7,0
tne83uu0,Nexplanon,Birth Control,5,0
hhsfq8bz,Keppra,Seizures,10,1
nsrm0axa,Hydroxyzine,Anxiety,7,0
iwsa760n,Blisovi Fe 1 / 20,Birth Control,6,0
3e1ji2mw,Ramelteon,Insomnia,1,0
4k1i6y98,Clindamycin,Surgical Prophylaxis,1,0
kbd2h4l0,Methadone,Chronic Pain,7,0
a5x5ga60,Infliximab,Psoriatic Arthritis,10,1
38f8ftmh,Rabeprazole,Erosive Esophagitis,10,1
7reqkx3h,Dexilant,GERD,4,0
j58f1lwa,Pristiq,Depression,1,0
6om1y33o,Seroquel,Bipolar Disorde,9,1
yu89n6rq,Immune globulin oral,Irritable Bowel Syndrome,10,1
ngbfiws5,Nucynta,Pain,9,1
rlsdznmv,Hysingla ER,Pain,1,0
qlkt5fzp,Metoprolol,Premature Ventricular Depolarizations,9,1
4nmc356g,Pantoprazole,Stomach Ulce,1,0
b10yokyu,Sprycel,Chronic Myelogenous Leukemia,10,1
c3dxfet9,Levonorgestrel,Emergency Contraception,10,1
zav5gksq,Tri-Sprintec,Acne,3,0
wtdzad90,Doxepin,,10,1
xfxf1vse,Zofran,Nausea/Vomiting,10,1
4f84pc83,Versed,Light Anesthesia,1,0
va4t15mb,Plan B,Emergency Contraception,9,1
i7tjno0w,Cipro,Urinary Tract Infection,10,1
llqpfhwg,Levonorgestrel,Emergency Contraception,10,1
dvrstz6f,Zoloft,Depression,10,1
etl9uwt7,MS Contin,Chronic Pain,8,1
zclymg50,Doxycycline,Rosacea,10,1
jir7n19b,Avonex,Multiple Sclerosis,8,1
xq1cxrvf,Skyla,Birth Control,4,0
fu3cl7lq,Oxycodone,Pain,9,1
cr22vp8b,Plan B,Emergency Contraception,3,0
